exp,type,subtype,num,ref_dry,ref_wet,tar_dry,tar_wet,pred1,pred2,random_param
recording_env_vctk1,limiter,limiter,24,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/limiter/limiter-hard-24-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/limiter/limiter-hard-24-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/limiter/limiter-hard-24-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/limiter/limiter-hard-24-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk1/limiter_hard-24-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk1/limiter_hard-24-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk1/limiter/limiter-moderate-24-wet_tar.wav
recording_env_vctk1,lowpass,lowpass_ladder,26,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/lowpass_ladder/lowpass_ladder-hard-26-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/lowpass_ladder/lowpass_ladder-hard-26-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/lowpass_ladder/lowpass_ladder-hard-26-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/lowpass_ladder/lowpass_ladder-hard-26-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk1/lowpass_ladder_hard-26-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk1/lowpass_ladder_hard-26-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk1/lowpass_ladder/lowpass_ladder-moderate-26-wet_tar.wav
recording_env_vctk1,micir_conv,micir_conv_modern_2,28,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/micir_conv_modern_2/micir_conv_modern_2-_-28-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/micir_conv_modern_2/micir_conv_modern_2-_-28-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/micir_conv_modern_2/micir_conv_modern_2-_-28-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/micir_conv_modern_2/micir_conv_modern_2-_-28-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk1/micir_conv_modern_2-28-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk1/micir_conv_vintage_2-28-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk1/micir_conv_modern_2/micir_conv_modern_2-_-28-wet_tar.wav
recording_env_vctk1,eq,svf,30,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/svf/svf-hard-30-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/svf/svf-hard-30-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/svf/svf-hard-30-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/svf/svf-hard-30-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk1/svf_hard-30-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk1/svf_hard-30-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk1/svf/svf-moderate-30-wet_tar.wav
recording_env_vctk1,rir_conv,rir_conv_church,32,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/rir_conv_church/rir_conv_church-_-32-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/rir_conv_church/rir_conv_church-_-32-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/rir_conv_church/rir_conv_church-_-32-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/rir_conv_church/rir_conv_church-_-32-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk1/rir_conv_church-32-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk1/rir_conv_bathroom-32-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk1/rir_conv_church/rir_conv_church-_-32-wet_tar.wav

recording_env_vctk2,codec,libopus,2,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/libopus/libopus-hard-2-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/libopus/libopus-hard-2-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/libopus/libopus-hard-2-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/libopus/libopus-hard-2-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk2/libopus_hard-2-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk2/libopus_hard-2-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk2/libopus/libopus-moderate-2-wet_tar.wav
recording_env_vctk2,noise,add_noise_clap,4,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/add_noise_clap/add_noise_clap-hard-4-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/add_noise_clap/add_noise_clap-hard-4-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/add_noise_clap/add_noise_clap-hard-4-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/add_noise_clap/add_noise_clap-hard-4-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk2/add_noise_clap_hard-4-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk2/add_noise_clap_hard-4-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk2/add_noise_clap/add_noise_clap-moderate-4-wet_tar.wav
recording_env_vctk2,bandpass,bandpass_ladder,6,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/bandpass_ladder/bandpass_ladder-hard-6-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/bandpass_ladder/bandpass_ladder-hard-6-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/bandpass_ladder/bandpass_ladder-hard-6-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/bandpass_ladder/bandpass_ladder-hard-6-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk2/bandpass_ladder_hard-6-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk2/bandpass_ladder_hard-6-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk2/bandpass_ladder/bandpass_ladder-moderate-6-wet_tar.wav
recording_env_vctk2,bandreject,bandreject,8,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/bandreject/bandreject-hard-8-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/bandreject/bandreject-hard-8-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/bandreject/bandreject-hard-8-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/bandreject/bandreject-hard-8-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk2/bandreject_hard-8-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk2/bandreject_hard-8-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk2/bandreject/bandreject-moderate-8-wet_tar.wav
recording_env_vctk2,bitcrush,bitcrush,10,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/bitcrush/bitcrush-hard-10-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/bitcrush/bitcrush-hard-10-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/bitcrush/bitcrush-hard-10-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/bitcrush/bitcrush-hard-10-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk2/bitcrush_hard-10-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk2/bitcrush_hard-10-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk2/bitcrush/bitcrush-moderate-10-wet_tar.wav
recording_env_vctk2,modulation,flanger,12,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/flanger/flanger-hard-12-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/flanger/flanger-hard-12-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/flanger/flanger-hard-12-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/flanger/flanger-hard-12-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk2/flanger_hard-12-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk2/flanger_hard-12-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk2/flanger/flanger-moderate-12-wet_tar.wav
recording_env_vctk2,compressor,compressor,14,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/compressor/compressor-hard-14-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/compressor/compressor-hard-14-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/compressor/compressor-hard-14-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/compressor/compressor-hard-14-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk2/compressor_hard-14-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk2/compressor_hard-14-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk2/compressor/compressor-moderate-14-wet_tar.wav
recording_env_vctk2,delay,delay,16,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/delay/delay-hard-16-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/delay/delay-hard-16-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/delay/delay-hard-16-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/delay/delay-hard-16-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk2/delay_hard-16-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk2/delay_hard-16-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk2/delay/delay-moderate-16-wet_tar.wav
recording_env_vctk2,distortion,distortion,18,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/distortion/distortion-hard-18-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/distortion/distortion-hard-18-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/distortion/distortion-hard-18-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/distortion/distortion-hard-18-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk2/distortion_hard-18-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk2/distortion_hard-18-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk2/distortion/distortion-moderate-18-wet_tar.wav
recording_env_vctk2,clipping,soft_clipper,20,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/soft_clipper/soft_clipper-hard-20-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/soft_clipper/soft_clipper-hard-20-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/soft_clipper/soft_clipper-hard-20-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/soft_clipper/soft_clipper-hard-20-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk2/soft_clipper_hard-20-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk2/soft_clipper_hard-20-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk2/soft_clipper/soft_clipper-moderate-20-wet_tar.wav
recording_env_vctk2,highpass,highpass_ladder,22,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/highpass_ladder/highpass_ladder-hard-22-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/highpass_ladder/highpass_ladder-hard-22-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/highpass_ladder/highpass_ladder-hard-22-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/highpass_ladder/highpass_ladder-hard-22-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk2/highpass_ladder_hard-22-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk2/highpass_ladder_hard-22-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk2/highpass_ladder/highpass_ladder-moderate-22-wet_tar.wav
recording_env_vctk2,limiter,limiter,24,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/limiter/limiter-hard-24-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/limiter/limiter-hard-24-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/limiter/limiter-hard-24-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/limiter/limiter-hard-24-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk2/limiter_hard-24-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk2/limiter_hard-24-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk2/limiter/limiter-moderate-24-wet_tar.wav
recording_env_vctk2,lowpass,lowpass_ladder,26,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/lowpass_ladder/lowpass_ladder-hard-26-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/lowpass_ladder/lowpass_ladder-hard-26-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/lowpass_ladder/lowpass_ladder-hard-26-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/lowpass_ladder/lowpass_ladder-hard-26-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk2/lowpass_ladder_hard-26-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk2/lowpass_ladder_hard-26-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk2/lowpass_ladder/lowpass_ladder-moderate-26-wet_tar.wav
recording_env_vctk2,micir_conv,micir_conv_modern_2,28,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/micir_conv_modern_2/micir_conv_modern_2-_-28-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/micir_conv_modern_2/micir_conv_modern_2-_-28-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/micir_conv_modern_2/micir_conv_modern_2-_-28-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/micir_conv_modern_2/micir_conv_modern_2-_-28-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk2/micir_conv_modern_2-28-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk2/micir_conv_vintage_2-28-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk2/micir_conv_modern_2/micir_conv_modern_2-_-28-wet_tar.wav
recording_env_vctk2,eq,svf,30,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/svf/svf-hard-30-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/svf/svf-hard-30-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/svf/svf-hard-30-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/svf/svf-hard-30-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk2/svf_hard-30-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk2/svf_hard-30-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk2/svf/svf-moderate-30-wet_tar.wav
recording_env_vctk2,rir_conv,rir_conv_church,32,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/rir_conv_church/rir_conv_church-_-32-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/rir_conv_church/rir_conv_church-_-32-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/rir_conv_church/rir_conv_church-_-32-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk2/rir_conv_church/rir_conv_church-_-32-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk2/rir_conv_church-32-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk2/rir_conv_bathroom-32-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk2/rir_conv_church/rir_conv_church-_-32-wet_tar.wav

